"Vikas, Sample Buffer",-,-,-,,,,,
"Vikas,  Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 3-10-21, Read 1:  3-11-21,Read 2: 3-12-21,Read 3:,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 3-12-21, Read 1:  3-15-21,Read 2: 3-12-21,Read 3:,Comments,,,,
LB,-,,,,,,,
Sheath,-,,,,,,,
,,,,,,,,
Tube Inoculation Date: 3-16-21, Read 1:  3-17-21,Read 2: 3-18-21,Read 3: 3-19-21,Comments,,,,
LB,-,-,-,Discarded,,,,
Sheath,-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 3-17-21, Read 1:  3-18-21,Read 2: 3-19-21,Read 3: ,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 3-18-21, Read 1:  3-19-21,Read 2: 3-22-21,Read 3: ,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 3-19-21 KFU, Read 1:  3-22-21,Read 2: 3-23-21,Read 3: ,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 3-23-21, Read 1:  3-24-21,Read 2: 3-25-21,Read 3: 3-26-21,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 3-24-21, Read 1:  3-25-21,Read 2: 3-26-21,Read 3:,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
"Vikas, Sample Buffer",-,-,,,,,,
"Vikas,  Collection Buffer",-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 3-25-21, Read 1:  3-26-21,Read 2: 3-29-21,Read 3:,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
"Chris,  Collection Buffer",-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 3-29-21, Read 1:  3-30-21,Read 2: 3-31-21,Read 3: 4-1-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Wenji, Sample Buffer",-,-,-,,,,,
"Wenji, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 3-30-21, Read 1:  3-31-21,Read 2: 4-1-21,Read 3: 4-2-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
PBS,-,-,-,,,,,
"Delong, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 3-31-21, Read 1:  04/01/21,Read 2: ,Read 3: ,Comments,,,,
1 LB,-,-,-,,,,,
 2 Sheath,-,-,-,,,,,
3 Collection Buffer sample 1,-,-,-,,,,,
4 Collection Buffer Sample 2,-,-,-,,,,,
 5 dilution buffer,--,-,-,,,,,
2nd Sort Sheth,-,,,,,,,
,,,,,,,,
Tube Inoculation Date: 4-1-21, Read 1:   4-2-21,Read 2: 4-5-21,Read 3:,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
"Giovanni, Collection Buffer",-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 4-2-21, Read 1:   4-5-21,Read 2:,Read 3:,Comments,,,,
LB,-,,,,,,,
Sheath,-,,,,,,,
"Giovanni, Collection Buffer",-,,,,,,,
,,,,,,,,
Tube Inoculation Date: 4-5-21, Read 1:   4-6-21,Read 2: 4-7-21,Read 3: 4-8-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Zahra, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 4-6-21, Read 1:   4-7-21,Read 2: 4-8-21,Read 3: 4-9-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Wenji, Sample Buffer",-,-,-,,,,,
"Wenji, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 4-8-21, Read 1:   4-9-21,Read 2: 4-12-21,Read 3: ,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 4-9-21, Read 1:   4-12-21,Read 2:,Read 3: ,Comments,,,,
LB,-,,,,,,,
Sheath,-,,,,,,,
"Allan, Collection Buffer",-,,,,,,,
,,,,,,,,
Tube Inoculation Date: 4-12-21, Read 1:   4-13-21,Read 2: 4-14-21,Read 3: 4-15-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
PBS,-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 4-13-21, Read 1:   4-14-21,Read 2: 4-15-21,Read 3: 4-16-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,Discarded 4/16,,,,
"Wenji, Sample Buffer",-,-,-,,,,,
"Wenji, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 4-14-21, Read 1:   4-15-21,Read 2: 4-16-21,Read 3: 4-19-21,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
"Giovanni, Collection Buffer",-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 4-15-21, Read 1:   4-16-21,Read 2: 4-19-21,Read 3:  4-20-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,discarded 4/20,,,,
,,,,,,,,
Tube Inoculation Date: 4-16-21, Read 1:   4-19-21,Read 2: 4-20-21,,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,discarded 4/20,,,,
,,,,,,,,
Tube Inoculation Date: 4-20-21, Read 1:   4-21-21,Read 2: 4-22-21,Read 3: 4-23-21,Comments,,,,
LB,-,-,-,,,,,
Sheath Leif,-,-,-,discarded 4/23,,,,
Sheath Chaplot,-,-,-,,,,,
Buffer Chaplot,-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 4-21-21, Read 1:   4-22-21,Read 2: 4-23-21,Read 3:  4-24-21,Comments,,,,
LB,-,-,-,,,,,
Sheath Rathinam,-,-,-,discarded 4/24,,,,
,,,,,,,,
Tube Inoculation Date: 4-22-21, Read 1:   4-23-21,Read 2: 4-24-21,Read 3:  ,Comments,,,,
LB,-,-,,,,,,
Sheath Camble,-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 4-27-21, Read 1:   4-28-21,Read 2: 4-29-21,Read 3: 4-30-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 4-28-21, Read 1:   4-29-21,Read 2: 4-30-21,Read 3: 5-3-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
PBS,-,-,-,,,,,
"Erica, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 4-29-21, Read 1:   4-30-21,Read 2: 5-3-21,Read 3: ,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
PBS,-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 4-30-21, Read 1:   5-3-21,Read 2: ,Read 3: ,Comments,,,,
LB,-,,,,,,,
Sheath,-,,,,,,,
"Chris, Collection Buffer",-,,,,,,,
"Xinyan, Collection Buffer",-,,,,,,,
,,,,,,,,
Tube Inoculation Date: 5-3-21, Read 1: 5-4-21,Read 2: 5-5-21,Read 3: 5-6-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Soad, Collection Buffer",-,-,-,,,,,
"Kriti, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 5-4-21, Read 1: 5-5-21,Read 2: 5-6-21,Read 3: 5-7-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Wenji, Sample Buffer",-,-,-,,,,,
"Wenji, Collection Buffer",-,-,-,,,,,
"Emily, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 5-5-21, Read 1: 5-6-21,Read 2: 5-7-21,Read 3: 5-10-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Leif, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 5-6-21, Read 1: 5-7-21,Read 2: 5-10-21,Read 3: ,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
PBS,-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 5-7-21, Read 1: 5-10-21,Read 2: ,Read 3: ,Comments,,,,
LB,-,,,,,,,
Sheath,-,,,,,,,
PBS,-,,,,,,,
,,,,,,,,
Tube Inoculation Date: 5-10-21, Read 1: 5-11-21,Read 2: 5-12-21,Read 3: 5-13-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Rossana, Sample Buffer",-,-,-,,,,,
"Emily, Sample Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 5-11-21, Read 1: 5-12-21,Read 2: 5-13-21,Read 3: 5-14-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,discarded 5/14,,,,
PBS,-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 5-12-21, Read 1: 5-13-21,Read 2: 5-14-21,Read 3: 5-17-21,Comments,,,,
LB,-,-,-,discarded 5/17,,,,
Sheath,-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 5-13-21, Read 1: 5-14-21,Read 2: 5-17-21,Read 3: 5/18/21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Emily, Collection Buffer",-,-,-,Discarded 5/18,,,,
"Kriti, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 5-18-21, Read 1: 5-19-21,Read 2: 5-20-21,Read 3:  5/21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
Media,-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 5-19-21, Read 1: 5-20-21,Read 2: 5-21-21,Read 3:  5-24-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
PBS,-,-,-,,,,,
"Rossana, Sample Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 5-21-21, Read 1: 5-24-21,Read 2: ,Read 3:  ,Comments,,,,
LB,-,,,,,,,
Sheath,-,,,,,,,
"Shengbing, Sample Buffer",-,,,,,,,
"Kriti, Sample Buffer",-,,,,,,,
,,,,,,,,
Tube Inoculation Date: 5-24-21, Read 1: 5-25-21,Read 2: 5-26-21,Read 3:  5-27-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
PBS,-,-,-,,,,,
"Tim, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 5-25-21, Read 1: 5-26-21,Read 2: 5-27-21,Read 3:  5-28-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Kriti, Sample Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 5-26-21, Read 1: 5-27-21,Read 2: 5-28-21,Read 3:  6-2-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Chris, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 5-27-21, Read 1: 5-28-21,Read 2: 6-2-21,Read 3: ,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
PBS,-,-,-,,,,,
"Allan, Collection Buffer",-,-,-,,,,,
"Vikas, Sample Buffer",-,-,-,,,,,
"Vikas, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date:  6-3-21, Read 1: 6-4-21,Read 2: 6-7-21,Read 3:,Comments,,,,
LB,-,-,,,,,,
"Sheath, Before Sort",-,-,,,,,,
PBS,-,-,,,,,,
Bottle Water,-,-,,,,,,
"Rossana, Sample Buffer",-,-,,,,,,
"Rossana, Collection Buffer",-,-,,,,,,
"Sheath, After Sort",-,-,,,,,,
,,,,,,,,
Tube Inoculation Date:  6-4-21, Read 1: 6-7-21,Read 2: ,Read 3:,Comments,,,,
LB,-,,,,,,,
Sheath,-,,,,,,,
"Kriti, Sample Buffer",-,,,,,,,
,,,,,,,,
Tube Inoculation Date:  6-8-21, Read 1: 6-9-21,Read 2: 6-10-21,Read 3: 6-11-21,Comments,,,,
LB,-,-,-,,,,,
Water,-,-,-,,,,,
PBS,-,-,-,,,,,
"Sheath, Before Sort",-,-,-,,,,,
"Rossana, Sample Buffer",-,-,-,,,,,
"Rossana, Collection Buffer",-,-,-,,,,,
"Sheath, After Sort",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date:  6-9-21, Read 1: 6-10-21,Read 2: 6-11-21,Read 3: 6-14-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Tim, Media",-,-,-,,,,,
"Brandon, Sample Buffer",-,-,-,,,,,
"Brandon, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date:  6-10-21, Read 1: 6-11-21,Read 2: 6-14-21,Read 3: ,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
"Gideon, Sample Buffer",-,-,,,,,,
"Gideon, Collection Buffer",-,-,,,,,,
,,,,,,,,
Tube Inoculation Date:  6-18-21, Read 1: 6-21-21,Read 2:,Read 3: ,Comments,,,,
LB,-,,,,,,,
Sheath,-,,,,,,,
"Vikas, Sample Buffer",-,,,,,,,
"Vikas, Collection Buffer",-,,,,,,,
,,,,,,,,
Tube Inoculation Date:  6-22-21, Read 1: 6-23-21,Read 2: 6-24-21,Read 3: 6-25-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
PBS,-,-,-,,,,,
"Ashwini, Buffer",-,-,+,,,,,
,,,,,,,,
Tube Inoculation Date:  6-23-21, Read 1: 6-24-21,Read 2: 6-25-21,Read 3: 6-28-21,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
,,,,,,,,
Tube Inoculation Date:  6-28-21, Read 1: 6-21-21,Read 2:,Read 3: ,Comments,,,,
LB,,,,,,,,
Sheath,,,,,,,,
"Vikas, Sample Buffer",,,,,,,,
"Vikas, Collection Buffer",,,,,,,,
,,,,,,,,
Tube Inoculation Date: 7-9-21, Read 1:   7-12-21,Read 2: ,Read 3:,Comments,,,,
LB,-,,,,,,,
Sheath,-,,,,,,,
"Ian, Sample Buffer",-,,,,,,,
"Ian, Collection Buffer",-,,,,,,,
,,,,,,,,
Tube Inoculation Date: 7-12-21, Read 1:   7-13-21,Read 2: 7-14-21,Read 3: 7-15-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Soad, Sample Buffer",-,-,-,,,,,
"Soad, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 7-13-21, Read 1:   7-14-21,Read 2: 7-15-21,Read 3: 7-18-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,+,discarded,discarded,,,,
"Vikas, Sample Buffer",-,-,-,,,,,
"Vikas, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 7-15-21, Read 1:   7-19-21,Read 2: 7-20-21,Read 3: 7-18-21,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,discarded,,,,
Rahim FACS,-,-,,,,,,
"Rahim, Media",-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 7-20-21, Read 1:   7-21-21,Read 2: 7-21-21,Read 3: 7-23-21,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Vikas, Sample Buffer",-,-,-,,,,,
"Vikas, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 7-21-21, Read 1:   7-22-21,Read 2: 7-23-21,Read 3: ,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Vikas, Sample Buffer",-,-,-,,,,,
"Vikas, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 7-21-21, Read 1:   7-23-21,Read 2: 7-26-21,Read 3: ,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
"Soad, Sample Buffer",-,-,,,,,,
"Soad, Collection Buffer",-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 7-27-21, Read 1:   7-28-21,Read 2: 7-29-21,Read 3: 7-30-21,Comments,,,,
LB,-,-,,,,,,
Sheath,-,-,,,,,,
"Brandon, Sample Buffer",-,-,,,,,,
"brandon, Collection Buffer",-,-,,,,,,
,,,,,,,,
Tube Inoculation Date: 7-28-21, Read 1:   7-29-21,Read 2: 7-30-21,Read 3: 8-2-21,Comments,,,,
LB,-,,,,,,,
Sheath,-,,,,,,,
"Yongwang, Sample Buffer",-,,,,,,,
"Yongwang, Collection Buffer",-,,,,,,,
,,,,,,,,
Tube Inoculation Date: 8-4-20, Read 1: ,Read 2: ,Read 3:,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Ian, Collection Buffer",-,-,-,,,,,
,,,,,,,,
,,,,,,,,
Tube Inoculation Date: 9-3-19, Read 1: 9-4-19,Read 2: 9-5-19,Read 3: 9-6-19,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Allan, Sample Buffer",-,-,-,,,,,
"Allan, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date: 10-01-20, Read 1:   ,Read 2: ,Read 3: ,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
"Brandon, Sample Buffer",-,-,-,,,,,
"Brandon, Collection Buffer",-,-,-,,,,,
,,,,,,,,
Tube Inoculation Date:  11-03-2020, Read 1:   11/09/20,Read 2: ,Read 3: ,Comments,,,,
LB,-,,,,,,,
Sheath,-,,,,,,,
"Vikas, Sample Buffer",+,,,,,,,
"Vikas, Collection Buffer",-,discarded,,,,,,
,,,,,,,,
Tube Inoculation Date: 12-01-2020, Read 1:   12/2,Read 2: 12/3,Read 3: 12/4,Comments,,,,
LB,-,-,-,,,,,
Sheath,-,-,-,,,,,
 Sample Buffer,-,-,-,DISCARDED,,,,
,,,,,,,,
