Date,Type,Day1,Day2,Day3,Comments
4-04-23,LB,-,-,-,
4-04-23,Sheath,-,-,-,
4-05-23,LB,-,-,-,
4-05-23,Sheath,-,-,-,
4-07-23,LB,-,-,-,
4-07-23,Sheath,-,-,-,
4-13-23,LB,,,-,
4-13-23,Sheath,,,-,
4-17-23,LB,-,-,1,
4-17-23,Sheath,-,-,1,
4-19-23,LB,-,-,1,
4-19-23,Sheath,-,-,1,
4-20-23,LB,-,,-,
4-20-23,Sheath,-,,-,
4-24-23,LB,-,-,-,
4-24-23,Sheath,-,-,-,
4-25-23,LB,-,-,-,
4-25-23,Sheath,-,-,-,
4-26-23,LB,-,-,,
4-26-23,Sheath,-,-,,
4-26-23,LB,-,-,-,
4-26-23,Sheath,-,-,-,
4-27-23,LB,-,,-,
4-27-23,Sheath,-,,-,
4-28-23,LB,,,-,
4-28-23,Sheath,,,-,
5-02-23,LB,-,-,-,
5-02-23,Sheath,-,-,-,
5-04-23,LB,-,,-,
5-04-23,Sheath,-,,-,
5-08-23,LB,-,-,-,
5-08-23,Sheath,-,-,-,
5-09-23,LB,-,-,-,
5-09-23,Sheath,-,-,-,
5-16-23,LB,-,,,
5-16-23,Sheath,-,,,
5-17-23,LB,-,-,-,
5-17-23,Sheath,-,-,-,
5-18-23,LB,-,,-,
5-18-23,Sheath,-,,-,
5-19-23,LB,,,-,
5-19-23,Sheath,,,-,
5-22-23,LB,-,-,-,
5-22-23,Sheath,-,-,-,
5-26-23,LB,,,-,
5-26-23,Sheath,,,-,
5-30-23,LB,-,-,-,
5-30-23,Sheath,-,-,-,
5-31-23,LB,-,-,1,
5-31-23,Sheath,-,-,1,
6-02-23,LB,,,1,
6-02-23,Sheath,,,1,
6-07-23,LB,-,-,-,
6-07-23,Sheath,-,-,-,
6-08-23,LB,-,,-,
6-08-23,Sheath,-,,-,
6-09-23,LB,,,-,
6-09-23,Sheath,,,-,
6-12-23,LB,-,-,-,
6-12-23,Sheath,-,-,-,
6-13-23,LB,-,-,-,
6-13-23,Sheath,-,-,-,
6-14-23,LB,-,-,-,
6-14-23,Sheath,-,-,-,
6-15-23,LB,-,,-,
6-15-23,Sheath,-,,-,
6-16-23,LB,,,-,
6-16-23,Sheath,,,-,
6-20-23,LB,-,-,-,
6-20-23,Sheath,-,-,-,
6-21-23,LB,-,-,-,
6-21-23,Sheath,-,-,-,
6-22-23,LB,,,-,
6-22-23,Sheath,,,-,
6-26-23,LB,-,-,-,
6-26-23,Sheath,-,-,-,
6-27-23,LB,-,-,,
6-27-23,Sheath,-,-,,
6-28-23,LB,-,-,-,
6-28-23,Sheath,-,-,-,
6-29-23,LB,-,,-,
6-29-23,Sheath,-,,-,
7-05-23,LB,-,,-,
7-05-23,Sheath,-,,-,
7-06-23,LB,,,-,
7-06-23,Sheath,,,-,
7-10-23,LB,-,1,1,Did Ethanol clean and ran ethanol through system for 40 minutes. 7-12-23
7-10-23,Sheath,-,1,1,
7-11-23,LB,-,1,1,Did ethanol clean yesterday 7-12-23
7-11-23,Sheath,-,1,1,
7-12-23,LB,-,-,-,
7-12-23,Sheath,-,-,-,
7-13-23,LB,-,-,-,
7-13-23,Sheath,-,-,-,
7-14-23,LB,,,-,
7-14-23,Sheath,,,-,
7-17-23,LB,-,-,-,
7-17-23,Sheath,-,-,-,
7-18-23,LB,-,-,-,
7-18-23,Sheath,-,-,-,
7-19-23,LB,-,-,-,
7-19-23,Sheath,-,-,-,
7-21-23,LB,,,-,
7-21-23,Sheath,,,-,
7-24-23,LB,-,-,-,
7-24-23,Sheath,-,-,-,
7-26-23,LB,-,-,-,
7-26-23,Sheath,-,-,-,
7-27-23,LB,-,,-,
7-27-23,Sheath,-,,-,
7-28-23,LB,,,-,
7-28-23,Sheath,,,-,
7-31-23,LB,-,-,-,
7-31-23,Sheath,-,-,-,
8-02-23,LB,-,-,-,
8-02-23,Sheath,-,-,-,
8-04-23,LB,,,-,
8-04-23,Sheath,,,-,
8-07-23,LB,-,-,-,
8-07-23,Sheath,-,-,-,
8-09-23,LB,,,-,
8-09-23,Sheath,,,-,
8-15-23,LB,-,-,-,
8-15-23,Sheath,-,-,-,
8-16-23,LB,-,-,-,
8-16-23,Sheath,-,-,-,
8-21-23,LB,-,-,-,
8-21-23,Sheath,-,-,-,
8-29-23,LB,-,-,-,
8-29-23,Sheath,-,-,-,
8-30-23,LB,-,-,,
8-30-23,Sheath,-,-,,
8-31-23,LB,-,,1,
8-31-23,Sheath,-,,1,
9-11-23,LB,-,-,-,
9-11-23,Sheath,-,-,-,
9-15-23,LB,,,-,
9-15-23,Sheath,,,-,
9-19-23,LB,-,,-,
9-19-23,Sheath,-,,-,
9-20-23,LB,-,-,-,
9-20-23,Sheath,-,-,-,
9-25-23,LB,-,-,-,
9-25-23,Sheath,-,-,-,
9-28-23,LB,-,,-,
9-28-23,Sheath,-,,-,
9-29-23,LB,,,-,
9-29-23,Sheath,,,-,
10-02-23,LB,-,-,-,
10-02-23,Sheath,-,-,-,
10-03-23,LB,-,-,-,
10-03-23,Sheath,-,-,-,
10-04-23,LB,-,-,-,
10-04-23,Sheath,-,-,-,
10-10-23,LB,-,-,-,
10-10-23,Sheath,-,-,-,
10-12-23,LB,-,,-,
10-12-23,Sheath,-,,-,
10-16-23,LB,-,-,-,
10-16-23,Sheath,-,-,-,
10-17-23,LB,-,-,-,
10-17-23,Sheath,-,-,-,
10-18-23,LB,-,,-,
10-18-23,Sheath,-,,-,
10-19-23,LB,,,-,
10-19-23,Sheath,,,-,
10-23-23,LB,-,-,-,
10-23-23,Sheath,-,-,-,
10-24-23,LB,-,-,-,
10-24-23,Sheath,-,-,-,
10-25-23,LB,-,-,-,
10-25-23,Sheath,-,-,-,
10-26-23,LB,-,,-,
10-26-23,Sheath,-,,-,
10-26-23,LB,-,-,-,
10-26-23,Sheath,-,-,-,
10-31-23,LB,-,-,,
10-31-23,Sheath,-,-,,
11-01-23,LB,-,-,1,
11-01-23,Sheath,-,-,1,
11-02-23,LB,-,-,-,
11-02-23,Sheath,-,-,-,
11-08-23,LB,-,,-,
11-08-23,Sheath,-,,-,
11-14-23,LB,-,-,-,
11-14-23,Sheath,-,-,-,
11-16-23,LB,-,,-,
11-16-23,Sheath,-,,-,
11-17-23,LB,,,-,
11-17-23,Sheath,,,-,
11-20-23,LB,-,-,-,
11-20-23,Sheath,-,-,-,
11-21-23,LB,-,,-,
11-21-23,Sheath,-,,-,
11-22-23,LB,,,-,
11-22-23,Sheath,,,-,
11-27-23,LB,-,-,-,
11-27-23,Sheath,-,-,-,
11-28-23,LB,-,-,,
11-28-23,Sheath,-,-,,
11-30-23,LB,,,,
11-30-23,Sheath,,,,
12-12-23,LB,-,-,-,
12-12-23,Sheath,-,-,-,
12-13-23,LB,-,-,-,
12-13-23,Sheath,-,-,-,
12-14-23,LB,-,,-,
12-14-23,Sheath,-,,-,
12-19-23,LB,-,-,-,
12-19-23,Sheath,-,-,-,
12-20-23,LB,-,-,1,
12-20-23,Sheath,-,-,1,
12-21-23,LB,-,,-,
12-21-23,Sheath,-,,-,
