Date,Type,Day1,Day2,Day3,Comments,,,,7-
4/12/2019,Sheath,-,N/A,N/A,,,,,
4/15/2019,LB,-,-,-,,,,,
4/15/2019,Sheath,-,-,-,,,,,
4/16/2019,LB,-,-,-,,,,,
4/16/2019,Sheath,-,-,-,,,,,
4/17/2019,LB,-,-,-,,,,,
4/17/2019,Sheath,-,-,-,,,,,
4/18/2019,LB,-,-,N/A,,,,,
4/18/2019,Sheath,-,-,N/A,,,,,
4/19/2019,LB,-,N/A,N/A,,,,,
4/19/2019,Sheath,-,N/A,N/A,,,,,
4/22/2019,LB,-,-,-,,,,,
4/22/2019,Sheath,-,-,-,,,,,
4/23/2019,LB,-,-,-,,,,,
4/23/2019,Sheath,-,-,-,,,,,
4/26/2019,LB,-,N/A,N/A,,,,,
4/26/2019,Sheath,-,N/A,N/A,,,,,
4/29/2019,LB,-,-,,,,,,
4/29/2019,Sheath,-,-,,,,,,
5/1/2019,LB,-,-,-,,,,,
5/1/2019,Sheath,-,-,-,,,,,
5/2/2019,LB,-,-,N/A,,,,,
5/2/2019,Sheath,-,-,N/A,,,,,
5/3/2019,LB,-,-,N/A,,,,,
5/3/2019,Sheath,-,-,N/A,,,,,
5/6/2019,LB,-,-,-,,,,,
5/6/2019,Sheath,-,-,-,,,,,
5/7/2019,LB,-,-,-,,,,,
5/7/2019,Sheath,-,-,-,,,,,
5/8/2019,LB,-,-,-,,,,,
5/8/2019,Sheath,-,-,-,,,,,
5/13/2019,LB,-,-,-,,,,,
5/13/2019,Sheath,-,-,-,,,,,
5/14/2019,LB,-,-,-,,,,,
5/14/2019,"Sheath, AM",-,-,-,,,,,
5/14/2019,"Sheath, PM",-,-,-,,,,,
5/15/2019,LB,-,-,N/A,,,,,
5/15/2019,Sheath,-,-,N/A,,,,,
5/16/2019,LB,-,-,,,,,,
5/16/2019,Sheath,-,-,,,,,,
5/17/2019,LB,-,N/A,N/A,,,,,
5/17/2019,Sheath,-,N/A,N/A,,,,,
,Tube Inoculation Date: 5-20-19, Read 1:   5-21-19,Read 2: 5-22-19,Read 3: 5-23-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 5-21-19, Read 1:   5-22-19,Read 2: 5-23-19,Read 3: 5-24-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 5-22-19, Read 1:   5-23-19,Read 2: 5-24-19,Read 3: 5-25-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 5-23-19, Read 1:   5-24-19,Read 2: 5-25-19,Read 3: 5-25-19,Comments,,,,
,LB,-,-,N/A,,,,,
,Sheath,-,-,N/A,,,,,
,Tube Inoculation Date: 5-29-19, Read 1:   5-30-19,Read 2: 5-31-2019,Read 3: 6-3-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date:  05/31/2019, Read 1: 06/03/19,Read 2: 6-4-19,Read 3:,Comments,,,,
,LB Sort 1,-,-,N/A,,,,,
,Sheath- Sort 1,-,-,N/A,,,,,
,Tube Inoculation Date:  6-4-19, Read 1: 6-5-19,Read 2: 6-6-19,Read 3: 6-7-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date:  6-6-19, Read 1: 6-7-19,Read 2: 6-10-19,Read 3: ,Comments,,,,
,LB,-,-,N/A,,,,,
,Sheath,-,-,N/A,,,,,
,Tube Inoculation Date:  6-10-19, Read 1: 6-11-19,Read 2: 6-12-19,Read 3: 6-13-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date:  6-11-19, Read 1: 6-12-19,Read 2: 6-13-19,Read 3: 6-14-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date:  6-12-19, Read 1: 6-13-19,Read 2: 6-14-19,Read 3: 6-17-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date:  6-14-19, Read 1: 6-17-19,Read 2:,Read 3:,Comments,,,,
,LB,-,N/A,N/A,,,,,
,Sheath,-,N/A,N/A,,,,,
,Tube Inoculation Date:  6-18-19, Read 1: 6-19-19,Read 2: 6-20-19,Read 3: 6-21-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date:  6-19-19,Read: 6-20-19,Read 2: 6-21-19,Read 3: 6-24-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date:  6-20-19, Read 1: 6-21-19,Read 2: 6-24-19,Read 3: ,Comments,,,,
,LB,-,-,N/A,,,,,
,Sheath,-,-,N/A,,,,,
,Tube Inoculation Date:  6-24-19, Read 1: 6-25-19,Read 2: 6-26-19,Read 3: 6-27-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date:  6-25-19, Read 1: 6-26-19,Read 2: 6-27-19,Read 3: 6-28-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date:  6-26-19, Read 1: 6-27-19,Read 2: 6-28-19,Read 3: 7-01-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date:  6-27-19, Read 1: 6-28-19,Read 2:7-1-19,Read 3:,Comments,,,,
,LB,-,-,N/A,,,,,
,Sheath,-,-,N/A,,,,,
,Tube Inoculation Date: 7-1-19, Read 1:   7-2-19,Read 2: 7-3-19,Read 3:,Comments,,,,
,LB,-,-,N/A,,,,,
,Sheath,-,-,N/A,,,,,
,Tube Inoculation Date: 7-2-19, Read 1:   7-3-19,Read 2: 7-8-19,Read 3:,Comments,,,,
,LB,-,-,N/A,,,,,
,Sheath,-,-,N/A,,,,,
,Tube Inoculation Date: 7-8-19, Read 1:   7-9-19,Read 2: 7-10-19,Read 3: 7-11-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 7-9-19, Read 1:   7-10-19,Read 2: 7-11-19,Read 3: 7-12-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 7-10-19, Read 1:   7-11-19,Read 2: 7-12-19,Read 3: 7-15-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 7-11-19, Read 1:   7-12-19,Read 2: 7-15-19,Read 3: ,Comments,,,,
,LB,-,-,N/A,,,,,
,Sheath,-,-,N/A,,,,,
,Tube Inoculation Date: 7-15-19, Read 1:   7-16-19,Read 2: 7-17-19,Read 3: 7-18-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 7-17-19, Read 1:   7-18-19,Read 2: 7-19-19,Read 3: 7-22-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 7-18-19, Read 1:   7-19-19,Read 2: 7-22-19,Read 3: ,Comments,,,,
,LB,-,-,N/A,,,,,
,Sheath,-,-,N/A,,,,,
,Tube Inoculation Date: 7-19-19, Read 1:   7-22-19,Read 2: ,Read 3:,Comments,,,,
,LB,-,N/A,N/A,,,,,
,Sheath,-,N/A,N/A,,,,,
,Tube Inoculation Date: 7-22-19, Read 1:   7-23-19,Read 2: 7-24-19,Read 3: 7-25-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 7-24-19, Read 1:   7-25-19,Read 2: 7-26-19,Read 3: 7-29-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 7-25-19, Read 1:   7-26-19,Read 2: 7-29-19,Read 3:,Comments,,,,
,LB,-,-,N/A,,,,,
,Sheath,-,-,N/A,,,,,
,Tube Inoculation Date: 7-29-19, Read 1:   7-30-19,Read 2: 7-31-19,Read 3: 8-1-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 7-30-19, Read 1:   7-31-19,Read 2: 8-1-19,Read 3: 8-2-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 7-31-19, Read 1:   8-1-19,Read 2: 8-2-19,Read 3: 8-5-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 8-1-19, Read 1:  8-2-19,Read 2: 8-5-19,Read 3:,Comments,,,,
,LB,-,-,N/A,,,,,
,Sheath,-,-,N/A,,,,,
,Tube Inoculation Date: 8-5-19, Read 1:  8-6-19,Read 2: 8-7-19,Read 3: 8-8-19,Comments,,,,
,LB,,,,,,,,
,Sheath,,,,,,,,
,Tube Inoculation Date: 8-6-19, Read 1:  8-7-19,Read 2: 8-8-19,Read 3: 8-9-19,Comments,,,,
,LB,,,,,,,,
,Sheath,,,,,,,,
,Tube Inoculation Date: 9-3-19, Read 1: 9-4-19,Read 2: 9-5-19,Read 3: 9-6-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 8-5-19,Read 1:  09-06,Read 2: 09-09,,Comments,,,,
,1- ctrl,-,-,,inoculatied 09/04 but platted on 09/05,,,,
,2- sheath,-,-,,,,,,
,5- sheath,-,-,,,,,,
,Tube Inoculation Date: 9-5-19, Read 1:  9-6-19,Read 2: 9-9-19,Read 3: ,Comments,,,,
,LB,-,-,,,,,,
,Sheath,-,-,,,,,,
,Tube Inoculation Date: 9-10-19, Read 1:  9-11-19,Read 2: 9-12-19,Read 3: 9-13-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 9-11-19, Read 1:  9-12-19,Read 2: 9-13-19,Read 3: ,Comments,,,,
,LB,-,-,,,,,,
,Sheath,-,-,,,,,,
,Tube Inoculation Date: 9-12-19, Read 1:  9-13-19,Read 2: 9-16-19,Read 3:,Comments,,,,
,LB,-,,,,,,,
,Sheath,-,,,,,,,
,Tube Inoculation Date: 9-13-19, Read 1:  9-16-19,Read 2: 9-12-19,Read 3: 9-13-19,Comments,,,,
,LB,-,-,discarded -,,,,,
,Sheath,-,-,discarded -,,,,,
,Tube Inoculation Date: 9-16-19, Read 1:  9-17-19,Read 2: 9-18-19,Read 3: 9-19-19,Comments,,,,
,LB,-,-,discarded -,,,,,
,Sheath,-,-,discarded -,,,,,
,Tube Inoculation Date: 9-17-19, Read 1:  9-18-19,Read 2: 9-19-19,Read 3: 9-20-19,Comments,,,,
,LB,-,-,discarded -,,,,,
,Sheath,-,-,discarded -,,,,,
,Tube Inoculation Date: 9-18-19, Read 1:  9-19-19,Read 2: 9-20-19,Read 3: 9-23-19,Comments,,,,
,LB,-,-,discarded -,,,,,
,Sheath,-,-,discarded -,,,,,
,Tube Inoculation Date: 9-19-19, Read 1:  9-20-19,Read 2: 9-23-19,,Comments,,,,
,LB,-,discarded -,,,,,,
,Sheath,-,discarded -,,,,,,
,Tube Inoculation Date: 9-23-19, Read 1:  9-24-19,Read 2: 9-25-19,Read 3: 9-26-19,Comments,,,,
,LB,-,-,,,,,,
,Sheath,-,,,,,,,
,Tube Inoculation Date: 10-01-19, Read 1:   10-02-19,Read 2: 10-03-19,Read 3: 10-04-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 10-02-19, Read 1:   10-03-19,Read 2: 10-04-19,Read 3: 10-07-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 10-03-19, Read 1:   10-04-19,Read 2: 10-07-19,Read 3: ,Comments,,,,
,LB,-,-,,,,,,
,Sheath,-,-,,,,,,
,Tube Inoculation Date: 10-01-19, Read 1:   10-07-19,Read 2: ,Read 3:,Comments,,,,
,LB,-,,,,,,,
,Sheath,-,,,,,,,
,Tube Inoculation Date: 10-07-19, Read 1:   10-08-19,Read 2: 10-09-19,Read 3: 10-10-19,Comments,,,,
,LB,-,,,,,,,
,Sheath,-,,,,,,,
,Tube Inoculation Date: 10-08-19, Read 1:   10-09-19,Read 2: 10-10-19,Read 3: 10-11-19,Comments,,,,
,LB,-,,,,,,,
,Sheath,-,,,,,,,
,Tube Inoculation Date: 10-08-19, Read 1:   10-09-19,Read 2: 10-10-19,Read 3: 10-11-19,Comments,,,,
,LB,,,,,,,,
,Sheath,,,,,,,,
,Tube Inoculation Date:  11/22/2019, Read 1:   ,Read 2: ,Read 3: 12/05/2019,Comments,,,,
,LB,,,-,,,,,
,Sheath,,,-,,,,,
,Tube Inoculation Date:  11/27/2019, Read 1:   ,Read 2: ,Read 3: 12/05/2019,Comments,,,,
,LB,,,-,,,,,
,Sheath,,,-,,,,,
,Tube Inoculation Date: 12-02-2019, Read 1:   12-03-19,Read 2: 12-04-19,Read 3: 12-05-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 12-03-2019, Read 1:   12-04-19,Read 2: 12-05-19,Read 3: 12-06-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 12-06-2019, Read 1:   12-09-19,Read 2: ,Read 3: ,Comments,,,,
,LB,-,N/A,N/A,,,,,
,Sheath,-,N/A,N/A,,,,,
,Tube Inoculation Date: 12-09-2019, Read 1:   12-10-19,Read 2: 12-11-19,Read 3: 12-12-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 12-10-2019, Read 1:   12-11-19,Read 2: 12-12-19,Read 3: 12-13-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 12-11-2019, Read 1:   12-12-19,Read 2: 12-13-19,Read 3: 12-16-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 12-12-2019, Read 1:   12-13-19,Read 2: 12-16-19,Read 3: ,Comments,,,,
,LB,-,-,N/A,,,,,
,Sheath,-,-,N/A,,,,,
,Tube Inoculation Date: 12-16-2019, Read 1:   12-17-19,Read 2: 12-18-19,Read 3: 12-19-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 12-17-2019, Read 1:   12-18-19,Read 2: 12-19-19,Read 3: 12-20-19,Comments,,,,
,LB,-,-,-,,,,,
,Sheath,-,-,-,,,,,
,Tube Inoculation Date: 12-18-2019, Read 1:   12-19-19,Read 2: 12-20-19,Read 3: ,Comments,,,,
,LB,-,-,,,,,,
,Sheath,-,-,,,,,,
