Tube Inoculation Date: 6-13-25,Read 1:  ,Read 2:,Read 3: 6-16-25,
,N/A,N/A,-,
,N/A,N/A,-,
,,,,
Tube Inoculation Date: 6-16-25,Read 1:  6-17-25,Read 2: 6-18-25,Read 3: 6-20-25,
,-,-,-,
,-,-,-,
,,,,
Tube Inoculation Date: 6-17-25,Read 1:  6-18-25,Read 2:,Read 3: 6-20-25,
,-,N/A,-,
,-,N/A,-,
,,,,
Tube Inoculation Date: 6-18-25,Read 1:  ,Read 2: 6-20-25,Read 3:,
,N/A,-,,
,N/A,-,,
,,,,
Tube Inoculation Date: 6-20-25,Read 1:  ,Read 2:,Read 3:6-23-25,
,N/A,N/A,-,
,N/A,N/A,-,
,,,,
Tube Inoculation Date: 6-23-25,Read 1:  6-24-25,Read 2:6-25-25,Read 3:6-26-25,
,-,-,-,Alisa Practice 
,1,1,1,
,,,,
Tube Inoculation Date: 6-23-25,Read 1:  6-24-25,Read 2:6-25-25,Read 3: 6-26-25,Sam Practice
,-,-,-,
,-,-,-,
,,,,
Tube Inoculation Date: 6-24-25,Read 1:  6-25-25,Read 2: 6-26-25,Read 3: 6-27-25,
,-,-,-,
,-,-,-,
,,,,
Tube Inoculation Date: 6-27-25,Read 1:  ,Read 2:,Read 3:,
,,,,
,,,,
,,,,
Tube Inoculation Date: 7-03-25, Read 1: , Read 2: , Read 3: 7-05-25,
LB,N/A,N/A,-,
Sheath,N/A,N/A,-,
,,,,
Tube Inoculation Date: 7-08-25, Read 1: 7-09-25, Read 2: 7-10-25, Read 3: 7-11-25,
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 7-09-25, Read 1: 7-10-25, Read 2: 7-11-25, Read 3: 7-14-25,
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 7-16-25, Read 1: 7-17-25, Read 2: 7-18-25, Read 3: ,
LB,-,-,,
Sheath,-,-,,
,,,,
Tube Inoculation Date: 7-18-25, Read 1: , Read 2: , Read 3: ,
LB,,,,
Sheath,,,,
,,,,
Tube Inoculation Date: 7-21-25, Read 1: 7-22-25, Read 2: 7-23-25, Read 3: 7-25-25,
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 7-28-25, Read 1: 07-29-25, Read 2: 07-30-25, Read 3: 08-01-25,
LB,-,-,-,
Sheath,-,-,-,
,,,,
,,,,
Tube Inoculation Date: 8-04-25, Read 1: 08-05-25, Read 2: 08-06-25, Read 3: 08-08-25,
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 8-11-25, Read 1: 08-12-25, Read 2: 08-13-25, Read 3: 08-15-25,
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 8-18-25, Read 1: 08-19-25, Read 2: 08-20-25, Read 3: 08-22-25,
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 8-25-25, Read 1: 08-26-25, Read 2: 08-27-25, Read 3: 08-29-25,
LB,-,-,-,
Sheath,-,-,-,
,,,,
,,,,
,,,,
Tube Inoculation Date: 9-04-25, Read 1: 09-05-25, Read 2: 09-08-25, Read 3: 09-09-25,
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 9-08-25, Read 1: 09-09-25, Read 2: 09-10-25, Read 3: 09-12-25,
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 9-15-25, Read 1: 09-16-25, Read 2: 09-17-25, Read 3: 09-19-25,
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 9-22-25, Read 1: 09-23-25, Read 2: 09-24-25, Read 3: 09-26-25,
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 9-29-25, Read 1: 09-30-25, Read 2: 10-01-25, Read 3: 10-03-25,
LB,-,-,-,
Sheath,-,-,-,
,,,,
Tube Inoculation Date: 9-29-25, Read 1: 09-30-25, Read 2: 10-01-25, Read 3: 10-03-25,
LB,-,-,-,
Sheath,-,-,-,
