Date,Instrument,Timepoint,Type,Day1,Day2,Day3,Comments
2015-06-25,One,,Sheath,0,1,1,Karbowski group called and said cells were contaminated
2015-06-26,One,,Media,0,1,1,"Contaminated with yeast, fibrous growth"
2015-06-26,One,,Sheath,0,1,1,"Contaminated with yeast, fibrous growth"
2015-06-30,,,Media,0,0,0,
2015-06-30,,,Sheath,0,0,0,
2015-07-01,,,Media,0,0,0,
2015-07-01,,,Sheath,0,0,0,
2015-07-05,One,,Media,0,0,0,
2015-07-05,One,,Sheath,0,0,0,
2015-07-08,One,,Media,0,1,1,
2015-07-08,One,,Sheath,0,1,1,
2015-07-10,One,,Media,1,1,1,"Testing showed Bacillus gram negative, likely from users media"
2015-07-10,One,,Sheath,1,1,1,"Testing showed Bacillus gram negative, likely from users media"
2015-07-13,One,,Media,0,0,0,
2015-07-13,One,,Sheath,0,0,0,
2015-07-16,One,,Media,0,,,
2015-07-16,One,,Sheath,0,,,
2015-07-17,One,,Media,1,1,1,"Changed color, clear contamination, something floating in media"
2015-07-17,One,,Sheath,1,1,1,"Changed color, clear contamination, something floating in media"
2015-07-17,Two,,Media,0,0,0,
2015-07-17,Two,,Sheath,0,0,0,
2015-07-20,Two,,Media,0,0,0,
2015-07-20,Two,,Sheath,0,0,0,
2015-07-21,Two,,Media,0,0,0,
2015-07-21,Two,,Sheath,0,0,0,
2015-07-29,,,Media,0,0,,
2015-07-29,,,Sheath,0,0,,
2015-07-30,,,Media,0,0,0,
2015-07-30,,,Sheath,0,0,0,
2015-08-05,Two,,Media,0,0,0,
2015-08-05,Two,,Sheath,0,0,0,
2015-08-06,One,,Media,0,0,0,
2015-08-06,One,,Sheath,0,0,0,
2015-08-06,Two,,Media,0,0,0,
2015-08-06,Two,,Sheath,0,0,0,
2015-08-12,One,,Media,0,0,0,
2015-08-12,One,,Sheath,0,0,0,
2015-08-12,Two,,Media,0,0,0,
2015-08-12,Two,,Sheath,0,0,0,
2015-08-13,Two,,Media,0,0,0,
2015-08-13,Two,,Sheath,0,0,0,
2015-08-17,One,,Media,0,0,,
2015-08-17,One,,Sheath,0,0,,
2015-08-20,Two,,Media,0,0,0,
2015-08-20,Two,,Sheath,0,0,0,
2015-08-21,One,,Media,0,0,0,
2015-08-21,One,,Sheath,0,0,0,
2015-08-21,Two,,Media,0,0,0,
2015-08-21,Two,,Sheath,0,0,0,
2015-08-24,Two,,Media,0,0,0,
2015-08-24,Two,,Sheath,0,0,0,
2015-08-25,One,,Media,0,0,0,
2015-08-25,One,,Sheath,0,0,0,
2015-08-25,Two,,Media,0,0,0,
2015-08-25,Two,,Sheath,0,0,0,
2015-08-27,One,,Sheath,0,0,0,
2015-08-27,Two,,Media,0,0,0,
2015-08-27,Two,,Sheath,0,0,0,
2015-09-01,One,,Media,0,0,0,
2015-09-01,One,,Sheath,0,0,0,
2015-09-11,Two,,Media,0,0,0,
2015-09-11,Two,,Sheath,0,0,0,
2015-09-14,Two,,Media,0,0,0,
2015-09-14,Two,,Sheath,0,0,0,
2015-09-29,One,,Media,0,0,,
2015-09-29,One,,Sheath,0,0,,
2015-10-08,One,,Media,0,0,0,
2015-10-08,One,,Sheath,0,0,0,
2015-10-08,Two,,Media,0,0,0,
2015-10-08,Two,,Sheath,0,0,0,
2015-10-14,Two,,Media,0,0,0,
2015-10-14,Two,,Sheath,0,0,0,
2015-10-22,Two,,Media,0,0,0,
2015-10-22,Two,,Sheath,0,0,0,
2015-10-27,Two,,Media,0,0,0,
2015-10-27,Two,,Sheath,0,0,0,
2015-10-28,Two,,Media,0,0,0,
2015-10-28,Two,,Sheath,0,0,0,
2015-11-03,One,,Media,0,0,0,
2015-11-03,One,,Sheath,0,0,0,
2015-11-03,Two,,Media,0,0,0,
2015-11-03,Two,,Sheath,0,0,0,
2015-11-09,One,,Media,0,0,0,
2015-11-09,One,,Sheath,0,0,0,
2015-11-09,Two,,Media,0,0,0,
2015-11-09,Two,,Sheath,0,0,0,
2015-11-12,One,,Media,0,0,0,
2015-11-12,One,,Sheath,0,0,0,
2015-11-12,Two,,Media,0,0,0,
2015-11-12,Two,,Sheath,0,0,0,
2015-11-17,,,Media,0,0,0,
2015-11-17,,,Sheath,0,0,0,
2015-11-23,One,,Media,0,0,0,
2015-11-23,One,,Sheath,0,0,0,
2015-11-23,Two,,Media,0,0,0,
2015-11-23,Two,,Sheath,0,0,0,
2015-12-04,,,Media,0,0,0,
2015-12-04,,,Sheath,0,0,0,
2015-12-07,,,Media,0,0,,
2015-12-07,,,Sheath,0,0,,
2015-12-08,Two,,Media,0,0,0,
2015-12-08,Two,,Sheath,0,0,0,
2015-12-14,Two,,Media,0,0,0,
2015-12-14,Two,,Sheath,0,0,0,
